Date,Deposit rate
2/11/2016,0.48
2/12/2016,0.48
2/15/2016,0.48
2/16/2016,0.48
2/17/2016,0.49
2/18/2016,0.49
2/19/2016,0.48
2/22/2016,0.5
2/23/2016,0.48
2/24/2016,0.48
2/25/2016,0.48
2/26/2016,0.5
2/29/2016,0.48
3/1/2016,0.5
3/2/2016,0.48
3/3/2016,0.5
3/4/2016,0.48
3/7/2016,0.5
3/8/2016,0.48
3/9/2016,0.48
3/10/2016,0.48
3/11/2016,0.5
3/14/2016,0.5
3/15/2016,0.48
3/16/2016,0.48
3/17/2016,0.48
3/18/2016,0.48
3/21/2016,0.48
3/22/2016,0.48
3/23/2016,0.48
3/24/2016,0.49
3/25/2016,0.5
3/28/2016,0.5
3/29/2016,0.49
3/30/2016,0.49
3/31/2016,0.49
4/1/2016,0.49
4/4/2016,0.51
4/5/2016,0.5
4/6/2016,0.5
4/7/2016,0.5
4/8/2016,0.5
4/11/2016,0.5
4/12/2016,0.5
4/13/2016,0.5
4/14/2016,0.5
4/15/2016,0.5
4/18/2016,0.5
4/19/2016,0.5
4/20/2016,0.5
4/21/2016,0.51
4/22/2016,0.51
4/25/2016,0.5
4/26/2016,0.5
4/27/2016,0.5
4/28/2016,0.5
4/29/2016,0.5
5/2/2016,0.5
5/3/2016,0.5
5/4/2016,0.5
5/5/2016,0.51
5/6/2016,0.51
5/9/2016,0.5
5/10/2016,0.5
5/11/2016,0.51
5/12/2016,0.5
5/13/2016,0.51
5/16/2016,0.45
5/17/2016,0.51
5/18/2016,0.51
5/19/2016,0.5
5/20/2016,0.51
5/23/2016,0.5
5/24/2016,0.51
5/25/2016,0.5
5/26/2016,0.5
5/27/2016,0.51
5/30/2016,0.51
5/31/2016,0.52
6/1/2016,0.51
6/2/2016,0.5
6/3/2016,0.5
6/6/2016,0.51
6/7/2016,0.51
6/8/2016,0.5
6/9/2016,0.5
6/10/2016,0.5
6/13/2016,0.5
6/14/2016,0.5
6/15/2016,0.5
6/16/2016,0.5
6/17/2016,0.5
6/20/2016,0.5
6/21/2016,0.6
6/22/2016,0.7
6/23/2016,0.5
6/24/2016,0.5
6/27/2016,0.45
6/28/2016,0.5
6/29/2016,0.5
6/30/2016,0.5
7/1/2016,0.45
7/4/2016,0.45
7/5/2016,0.45
7/6/2016,0.45
7/7/2016,0.45
7/8/2016,0.4
7/11/2016,0.4
7/12/2016,0.45
7/13/2016,0.4
7/14/2016,0.45
7/15/2016,0.55
7/18/2016,0.55
7/19/2016,0.55
7/20/2016,0.55
7/21/2016,0.6
7/22/2016,0.48
7/25/2016,0.48
7/26/2016,0.5
7/27/2016,0.5
7/28/2016,0.5
7/29/2016,0.5
8/1/2016,0.43
8/2/2016,0.44
8/3/2016,0.44
8/4/2016,0.23
8/5/2016,0.25
8/8/2016,0.28
8/9/2016,0.28
8/10/2016,0.28
8/11/2016,0.28
8/12/2016,0.28
8/15/2016,0.28
8/16/2016,0.28
8/17/2016,0.28
8/18/2016,0.28
8/19/2016,0.2
8/22/2016,0.26
8/23/2016,0.27
8/24/2016,0.28
8/25/2016,0.28
8/26/2016,0.28
8/29/2016,0.28
8/30/2016,0.28
